Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
UNKNOWN-HC186773	Hepatitis C virus	2b	HC186773	9406	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186774	Hepatitis C virus	1b	HC186774	9577	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186775	Hepatitis C virus	1b	HC186775	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186776	Hepatitis C virus	1b	HC186776	9365	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186777	Hepatitis C virus	2k/1b	HC186777	9357	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186778	Hepatitis C virus	1a	HC186778	8791	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186779	Hepatitis C virus	1c	HC186779	9441	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186782	Hepatitis C virus	2a	HC186782	9689	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186783	Hepatitis C virus	6a	HC186783	9355	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186784	Hepatitis C virus	-N/A-	HC186784	9388	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186785	Hepatitis C virus	2a	HC186785	9589	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186786	Hepatitis C virus	1a	HC186786	9502	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186787	Hepatitis C virus	1b	HC186787	9460	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186788	Hepatitis C virus	1b	HC186788	9456	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186789	Hepatitis C virus	2b	HC186789	9511	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186790	Hepatitis C virus	1b	HC186790	9436	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186791	Hepatitis C virus	1b	HC186791	9434	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186793	Hepatitis C virus	1b	HC186793	9448	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186794	Hepatitis C virus	1b	HC186794	9427	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186795	Hepatitis C virus	1c	HC186795	9487	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186797	Hepatitis C virus	3a	HC186797	9456	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186798	Hepatitis C virus	3a	HC186798	9454	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186799	Hepatitis C virus	1b	HC186799	9431	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186800	Hepatitis C virus	1b	HC186800	9431	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186801	Hepatitis C virus	3b	HC186801	9444	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186802	Hepatitis C virus	2c	HC186802	9513	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186803	Hepatitis C virus	1b	HC186803	9410	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186804	Hepatitis C virus	1b	HC186804	9410	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186805	Hepatitis C virus	1b	HC186805	9410	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186806	Hepatitis C virus	1b	HC186806	9410	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186807	Hepatitis C virus	1b	HC186807	9410	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186808	Hepatitis C virus	1b	HC186808	9410	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186809	Hepatitis C virus	3k	HC186809	9450	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186810	Hepatitis C virus	6g	HC186810	9461	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186811	Hepatitis C virus	1b	HC186811	9295	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186812	Hepatitis C virus	6b	HC186812	9449	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186813	Hepatitis C virus	6d	HC186813	9426	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186814	Hepatitis C virus	6k	HC186814	9443	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186815	Hepatitis C virus	6h	HC186815	9431	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186816	Hepatitis C virus	1b	HC186816	9535	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186817	Hepatitis C virus	1b	HC186817	9548	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186818	Hepatitis C virus	1b	HC186818	9033	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186819	Hepatitis C virus	1b	HC186819	9413	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186820	Hepatitis C virus	-N/A-	HC186820	9360	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186821	Hepatitis C virus	2i	HC186821	9370	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186822	Hepatitis C virus	1b	HC186822	9400	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186824	Hepatitis C virus	1b	HC186824	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186825	Hepatitis C virus	1a	HC186825	9401	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186826	Hepatitis C virus	1a	HC186826	9416	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186827	Hepatitis C virus	1b	HC186827	9425	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186828	Hepatitis C virus	1b	HC186828	9414	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186829	Hepatitis C virus	1a	HC186829	9646	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186830	Hepatitis C virus	1b	HC186830	9440	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186831	Hepatitis C virus	1b	HC186831	9446	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186832	Hepatitis C virus	1b	HC186832	9415	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186833	Hepatitis C virus	1b	HC186833	9431	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186834	Hepatitis C virus	1b	HC186834	9400	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186835	Hepatitis C virus	1b	HC186835	9408	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186836	Hepatitis C virus	3a	HC186836	9390	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186837	Hepatitis C virus	4a	HC186837	9355	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186838	Hepatitis C virus	6a	HC186838	9340	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC186839	Hepatitis C virus	5a	HC186839	9343	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC187252	Hepatitis C virus	1a	HC187252	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC454015	Hepatitis C virus	2b/2a	HC454015	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC454027	Hepatitis C virus	2b/2a	HC454027	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC458486	Hepatitis C virus	7a/2a	HC458486	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC458488	Hepatitis C virus	7a/2a	HC458488	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC458490	Hepatitis C virus	7a/2a	HC458490	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC458492	Hepatitis C virus	7a/2a	HC458492	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC458494	Hepatitis C virus	7a/2a	HC458494	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC458508	Hepatitis C virus	7a	HC458508	9357	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC458509	Hepatitis C virus	2a	HC458509	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466793	Hepatitis C virus	1a/2a	HC466793	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466794	Hepatitis C virus	2a	HC466794	9597	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466795	Hepatitis C virus	3a/2a	HC466795	9603	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466796	Hepatitis C virus	4a/2a	HC466796	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466797	Hepatitis C virus	5a/2a	HC466797	9588	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466798	Hepatitis C virus	6a/2a	HC466798	9606	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466802	Hepatitis C virus	1a/2a	HC466802	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466803	Hepatitis C virus	1a/2a	HC466803	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466804	Hepatitis C virus	3a/2a	HC466804	9603	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466805	Hepatitis C virus	1b/2a	HC466805	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466806	Hepatitis C virus	2b/2a	HC466806	9597	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC466807	Hepatitis C virus	2b/2a	HC466807	9597	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493939	Hepatitis C virus	1b	HC493939	9538	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493940	Hepatitis C virus	2b	HC493940	9654	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493941	Hepatitis C virus	2k	HC493941	9488	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493942	Hepatitis C virus	2a	HC493942	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493943	Hepatitis C virus	2a	HC493943	9674	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493944	Hepatitis C virus	2a	HC493944	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493945	Hepatitis C virus	2a	HC493945	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493946	Hepatitis C virus	2a	HC493946	9641	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493947	Hepatitis C virus	2a	HC493947	9691	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493948	Hepatitis C virus	2a	HC493948	9683	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493949	Hepatitis C virus	1b	HC493949	9426	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493950	Hepatitis C virus	1b	HC493950	9616	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493951	Hepatitis C virus	1b	HC493951	9571	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493952	Hepatitis C virus	1b	HC493952	9573	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493953	Hepatitis C virus	1b	HC493953	9547	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493954	Hepatitis C virus	1b	HC493954	9344	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493955	Hepatitis C virus	1b	HC493955	9435	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493956	Hepatitis C virus	1b	HC493956	9480	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493957	Hepatitis C virus	1b	HC493957	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493958	Hepatitis C virus	1b	HC493958	9344	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493959	Hepatitis C virus	1b	HC493959	9460	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493960	Hepatitis C virus	1b	HC493960	9419	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493961	Hepatitis C virus	1b	HC493961	9504	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493962	Hepatitis C virus	1b	HC493962	9344	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493963	Hepatitis C virus	1b	HC493963	9598	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493964	Hepatitis C virus	1b	HC493964	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493965	Hepatitis C virus	1b	HC493965	9658	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493966	Hepatitis C virus	1b	HC493966	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493967	Hepatitis C virus	1b	HC493967	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493968	Hepatitis C virus	1b	HC493968	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493969	Hepatitis C virus	1b	HC493969	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493970	Hepatitis C virus	1b	HC493970	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493971	Hepatitis C virus	1b	HC493971	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493972	Hepatitis C virus	1b	HC493972	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493973	Hepatitis C virus	1b	HC493973	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493974	Hepatitis C virus	1b	HC493974	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493975	Hepatitis C virus	1b	HC493975	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493976	Hepatitis C virus	1b	HC493976	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493977	Hepatitis C virus	1b	HC493977	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493978	Hepatitis C virus	1b	HC493978	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493979	Hepatitis C virus	1b	HC493979	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493980	Hepatitis C virus	1b	HC493980	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493981	Hepatitis C virus	1b	HC493981	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493982	Hepatitis C virus	1b	HC493982	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493983	Hepatitis C virus	1b	HC493983	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493984	Hepatitis C virus	1b	HC493984	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493985	Hepatitis C virus	1b	HC493985	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493986	Hepatitis C virus	1b	HC493986	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493987	Hepatitis C virus	1b	HC493987	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493988	Hepatitis C virus	1b	HC493988	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493989	Hepatitis C virus	1b	HC493989	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493990	Hepatitis C virus	1b	HC493990	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493991	Hepatitis C virus	1b	HC493991	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493992	Hepatitis C virus	1b	HC493992	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493993	Hepatitis C virus	1b	HC493993	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493994	Hepatitis C virus	1b	HC493994	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493995	Hepatitis C virus	1b	HC493995	9359	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493996	Hepatitis C virus	1b	HC493996	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493997	Hepatitis C virus	1a	HC493997	9646	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493998	Hepatitis C virus	1a	HC493998	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC493999	Hepatitis C virus	1a	HC493999	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494000	Hepatitis C virus	1a	HC494000	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494001	Hepatitis C virus	3a	HC494001	9425	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494002	Hepatitis C virus	1b	HC494002	9595	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494003	Hepatitis C virus	1b	HC494003	9595	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494004	Hepatitis C virus	1b	HC494004	9596	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494005	Hepatitis C virus	1b	HC494005	9580	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494006	Hepatitis C virus	1b	HC494006	8779	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494007	Hepatitis C virus	1b	HC494007	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494008	Hepatitis C virus	1b	HC494008	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494009	Hepatitis C virus	1b	HC494009	8781	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494010	Hepatitis C virus	1b	HC494010	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494011	Hepatitis C virus	1b	HC494011	8781	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494012	Hepatitis C virus	1b	HC494012	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494013	Hepatitis C virus	1b	HC494013	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494014	Hepatitis C virus	1b	HC494014	8780	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494015	Hepatitis C virus	5a	HC494015	9408	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494016	Hepatitis C virus	1b	HC494016	9616	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494017	Hepatitis C virus	1b	HC494017	9389	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494018	Hepatitis C virus	1b	HC494018	9389	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494019	Hepatitis C virus	1b	HC494019	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494020	Hepatitis C virus	1b	HC494020	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494021	Hepatitis C virus	1b	HC494021	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494022	Hepatitis C virus	1b	HC494022	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494023	Hepatitis C virus	1b	HC494023	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494024	Hepatitis C virus	1b	HC494024	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494025	Hepatitis C virus	1b	HC494025	9369	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494026	Hepatitis C virus	1b	HC494026	9369	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494027	Hepatitis C virus	1b	HC494027	9386	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494028	Hepatitis C virus	1b	HC494028	9386	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494029	Hepatitis C virus	1b	HC494029	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494030	Hepatitis C virus	1b	HC494030	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494031	Hepatitis C virus	1b	HC494031	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494032	Hepatitis C virus	1b	HC494032	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494033	Hepatitis C virus	1b	HC494033	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494034	Hepatitis C virus	1b	HC494034	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494035	Hepatitis C virus	1b	HC494035	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494036	Hepatitis C virus	1b	HC494036	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494037	Hepatitis C virus	2a	HC494037	9661	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494038	Hepatitis C virus	2a	HC494038	9693	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494039	Hepatitis C virus	2a	HC494039	9653	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494040	Hepatitis C virus	2a	HC494040	9700	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494041	Hepatitis C virus	1b	HC494041	9600	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494042	Hepatitis C virus	2a	HC494042	9711	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494043	Hepatitis C virus	1b	HC494043	9375	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494044	Hepatitis C virus	1b	HC494044	9374	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494045	Hepatitis C virus	1b	HC494045	9375	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494046	Hepatitis C virus	1b	HC494046	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494047	Hepatitis C virus	1b	HC494047	9377	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494048	Hepatitis C virus	1b	HC494048	9375	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494049	Hepatitis C virus	1b	HC494049	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494050	Hepatitis C virus	1b	HC494050	9388	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494051	Hepatitis C virus	1b	HC494051	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494052	Hepatitis C virus	1b	HC494052	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494053	Hepatitis C virus	1b	HC494053	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494054	Hepatitis C virus	1b	HC494054	9377	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494055	Hepatitis C virus	1b	HC494055	9368	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494056	Hepatitis C virus	1b	HC494056	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494057	Hepatitis C virus	1b	HC494057	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494058	Hepatitis C virus	1b	HC494058	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494059	Hepatitis C virus	1b	HC494059	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494060	Hepatitis C virus	1b	HC494060	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494061	Hepatitis C virus	1b	HC494061	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494062	Hepatitis C virus	1b	HC494062	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494063	Hepatitis C virus	1b	HC494063	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HC494064	Hepatitis C virus	1b	HC494064	9379	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
